,site,site_abbreviation,country,province,city,latitude,longitude,survey_date,plant_or_pans,n,Start.Number,End.Number,index,uniqueID,name,order,subclade,family,genus,species,sex
84,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_84,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,salicifloris,female
85,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_85,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,carlini,female
86,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_86,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,angustitarsata,female
87,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_87,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,crataegi,female
88,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_88,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,angustitarsata,female
89,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_89,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,crataegi,female
90,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_90,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,angustitarsata,female
91,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_91,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,prunorum,female
92,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_92,JCUJ,Hymenoptera,Anthophila,Halictidae,Halictus,confusus,female
93,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_93,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,prunorum,female
94,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_94,JCUJ,Hymenoptera,Anthophila,Apidae,Nomada,morpho1,female
95,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_95,JCUJ,,,,,,
96,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_96,JCUJ,,,,,,
97,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_97,JCUJ,,,,,,
98,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_98,JCUJ,,,,,,
99,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_99,JCUJ,,,,,,
100,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_100,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,brunneiventre,female
101,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_101,JCUJ,,,,,,
102,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_102,JCUJ,Hymenoptera,not_Anthophila,Crabronidae,,,
103,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_103,JCUJ,,,,,,
104,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_104,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,knereri,female
105,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_105,JCUJ,,,,,,
106,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_106,JCUJ,,,,,,
107,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_107,JCUJ,,,,,,
108,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_108,JCUJ,,,,,,
109,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_109,JCUJ,Hymenoptera,not_Anthophila,Tenthredinidae,,,
110,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_110,JCUJ,,,,,,
111,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_111,JCUJ,,,,,,
112,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_112,JCUJ,,,,,,
113,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_113,JCUJ,,,,,,
114,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_114,JCUJ,Hymenoptera,not_Anthophila,Tenthredinidae,,,
115,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_115,JCUJ,,,,,,
116,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_116,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,carlini,female
117,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_117,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,sitkensis,female
118,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_118,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,mixtus,female
119,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_119,JCUJ,Hymenoptera,not_Anthophila,Tenthredinidae,,,
120,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_120,JCUJ,Hymenoptera,Anthophila,Megachilidae,Osmia,morpho1,male
121,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_121,JCUJ,,,,,,
122,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_122,JCUJ,,,,,,
123,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_123,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,mixtus,female
124,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_124,JCUJ,,,,,,
125,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_125,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,brunneiventre,female
126,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_126,JCUJ,,,,,,
127,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_127,JCUJ,,,,,,
128,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_128,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,flavifrons,female
129,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_129,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,melanopygus,male
130,ubc_farm_field_margin,ubc_f2,CAN,BC,Vancouver,49.248951,-123.238648,5/27/2020,pan trap,47,95,141,5,JCUJ2020_130,JCUJ,,,,,,
